Date,Year,Month,Day,Fert_TP_mg/d,Inflow_TP_mg/d,Fert_TN_mg/d,Inflow_TN_mg/d
6/11/70,1970,6,11,134782.6087,0.041982507,1673913.043,0.236734694
6/12/70,1970,6,12,134782.6087,0,1673913.043,0
6/13/70,1970,6,13,134782.6087,0,1673913.043,0
6/14/70,1970,6,14,134782.6087,0,1673913.043,0
6/15/70,1970,6,15,134782.6087,0.006478782,1673913.043,0.014739229
6/16/70,1970,6,16,134782.6087,0.000658587,1673913.043,0.001011975
6/17/70,1970,6,17,134782.6087,0.048979592,1673913.043,0.040816327
6/18/70,1970,6,18,134782.6087,0,1673913.043,0
6/19/70,1970,6,19,134782.6087,0,1673913.043,0
6/20/70,1970,6,20,134782.6087,0,1673913.043,0
6/21/70,1970,6,21,134782.6087,0,1673913.043,0
6/22/70,1970,6,22,134782.6087,0,1673913.043,0
6/23/70,1970,6,23,134782.6087,0.030141287,1673913.043,0.019843014
6/24/70,1970,6,24,134782.6087,0,1673913.043,0
6/25/70,1970,6,25,134782.6087,0.001940916,1673913.043,0.00119119
6/26/70,1970,6,26,134782.6087,0,1673913.043,0
6/27/70,1970,6,27,134782.6087,0,1673913.043,0
6/28/70,1970,6,28,134782.6087,0.010560868,1673913.043,0.00587032
6/29/70,1970,6,29,134782.6087,0,1673913.043,0
6/30/70,1970,6,30,134782.6087,0.002782931,1673913.043,0.001453309
7/1/70,1970,7,1,134782.6087,0,1673913.043,0
7/2/70,1970,7,2,134782.6087,0.004919825,1673913.043,0.003507653
7/3/70,1970,7,3,134782.6087,0.022202288,1673913.043,0.018524333
7/4/70,1970,7,4,134782.6087,0,1673913.043,0
7/5/70,1970,7,5,134782.6087,0.004071579,1673913.043,0.004714989
7/6/70,1970,7,6,134782.6087,0,1673913.043,0
7/7/70,1970,7,7,134782.6087,0.014128728,1673913.043,0.023547881
7/8/70,1970,7,8,134782.6087,0,1673913.043,0
7/9/70,1970,7,9,134782.6087,0,1673913.043,0
7/10/70,1970,7,10,134782.6087,0,1673913.043,0
7/11/70,1970,7,11,134782.6087,0,1673913.043,0
7/12/70,1970,7,12,134782.6087,0.004247202,1673913.043,0.004139222
7/13/70,1970,7,13,134782.6087,0.025072886,1673913.043,0.022740525
7/14/70,1970,7,14,134782.6087,0,1673913.043,0
7/15/70,1970,7,15,134782.6087,0,1673913.043,0
7/16/70,1970,7,16,134782.6087,0,1673913.043,0
7/17/70,1970,7,17,134782.6087,0,1673913.043,0
7/18/70,1970,7,18,134782.6087,0.003058835,1673913.043,0.002939349
7/19/70,1970,7,19,134782.6087,0,1673913.043,0
7/20/70,1970,7,20,134782.6087,0,1673913.043,0
7/21/70,1970,7,21,134782.6087,0,1673913.043,0
7/22/70,1970,7,22,134782.6087,0,1673913.043,0
7/23/70,1970,7,23,134782.6087,0,1673913.043,0
7/24/70,1970,7,24,134782.6087,0.028506641,1673913.043,0.018950437
7/25/70,1970,7,25,134782.6087,0,1673913.043,0
7/26/70,1970,7,26,134782.6087,0,1673913.043,0
7/27/70,1970,7,27,134782.6087,0,1673913.043,0
7/28/70,1970,7,28,134782.6087,0,1673913.043,0
7/29/70,1970,7,29,134782.6087,0.002568632,1673913.043,0.001131499
7/30/70,1970,7,30,134782.6087,0.08090379,1673913.043,0.037827988
7/31/70,1970,7,31,134782.6087,0,1673913.043,0
8/1/70,1970,8,1,134782.6087,0,1673913.043,0
8/2/70,1970,8,2,134782.6087,0,1673913.043,0
8/3/70,1970,8,3,134782.6087,0,1673913.043,0
8/4/70,1970,8,4,134782.6087,0,1673913.043,0
8/5/70,1970,8,5,134782.6087,0,1673913.043,0
8/6/70,1970,8,6,134782.6087,0.010034579,1673913.043,0.00729541
8/7/70,1970,8,7,134782.6087,0,1673913.043,0
8/8/70,1970,8,8,134782.6087,0,1673913.043,0
8/9/70,1970,8,9,134782.6087,0,1673913.043,0
8/10/70,1970,8,10,134782.6087,0,1673913.043,0
8/11/70,1970,8,11,134782.6087,0,1673913.043,0
8/12/70,1970,8,12,134782.6087,0,1673913.043,0
8/13/70,1970,8,13,134782.6087,0,1673913.043,0
