date,Obs_TP,Obs_chla,Obs_TDP,Obs_PP,obs.O2.4m,obs.O2.6m,obs.O2.8m,obs.O2.10m,Year,Month,Day
3/17/86,,,,,0.01,0.01,0.01,0.01,1986,3,17
5/6/86,20,5.5,7,13,7.95,0.01,0.01,0.01,1986,5,6
5/13/86,42,7.4,16,26,,,,,1986,5,13
5/19/86,,12.8,,,,,,,1986,5,19
5/20/86,28,10.2,9,19,,,,,1986,5,20
5/27/86,29,7.9,8,21,,,,,1986,5,27
6/2/86,,6.6,,,,,,,1986,6,2
6/3/86,27,7,4,23,1.18,0.01,0.01,0.01,1986,6,3
6/10/86,28,6.4,4,24,,,,,1986,6,10
6/11/86,,5.6,,,,,,,1986,6,11
6/17/86,31,6.9,4,27,,,,,1986,6,17
6/18/86,,6.7,,,,,,,1986,6,18
6/24/86,36,7.4,9,27,,,,,1986,6,24
6/30/86,,10,,,,,,,1986,6,30
7/1/86,40,7.5,10,30,0.25,0.01,0.01,0.01,1986,7,1
7/8/86,39,5.3,7,32,,,,,1986,7,8
7/14/86,,10.8,,,,,,,1986,7,14
7/15/86,55,9.6,10,45,,,,,1986,7,15
7/22/86,34,5.8,9,25,,,,,1986,7,22
7/29/86,43,6.6,12,31,4.73,0.01,0.01,0.01,1986,7,29
7/30/86,,7.5,,,,,,,1986,7,30
8/5/86,35,6.3,8,27,,,,,1986,8,5
8/7/86,,,,,,,,,1986,8,7
8/11/86,,7.5,,,,,,,1986,8,11
8/12/86,34,4.7,8,26,,,,,1986,8,12
8/13/86,,,,,,,,,1986,8,13
8/19/86,28,5.4,10,18,,,,,1986,8,19
8/25/86,,12.1,,,,,,,1986,8,25
8/26/86,31,9.2,9,22,0.35,0.01,0.01,0.01,1986,8,26
9/2/86,34,15.4,9,25,,,,,1986,9,2
9/9/86,38,12.3,10,28,,,,,1986,9,9
9/16/86,38,13.9,9,29,,,,,1986,9,16
9/22/86,,15.5,,,,,,,1986,9,22
9/23/86,39,15.6,10,29,6.18,0.01,0.01,0.01,1986,9,23
9/30/86,34,15.1,8,26,,,,,1986,9,30
10/7/86,37,16.2,7,30,,,,,1986,10,7
10/13/86,33,16.8,7,26,,,,,1986,10,13
10/21/86,,16.9,,,,,,,1986,10,21
10/28/86,35,18.2,8,27,5.88,0.77,0.01,0.01,1986,10,28
12/10/86,,,,,4.43,0.50,0.65,0.01,1986,12,10
1/21/87,,,,,0.40,0.15,0.01,0.01,1987,1,21
2/18/87,,,,,1.47,0.15,0.01,0.01,1987,2,18
3/18/87,,,,,0.01,0.01,0.01,0.01,1987,3,18
5/5/87,27,12.5,8,19,2.54,0.01,0.01,0.01,1987,5,5
5/12/87,34,18.9,11,23,,,,,1987,5,12
5/19/87,38,20.5,6,32,,,,,1987,5,19
5/26/87,39,19.7,6,33,,,,,1987,5,26
6/2/87,20,37.2,9,11,3.70,0.01,0.01,0.01,1987,6,2
6/9/87,62,22,10,52,,,,,1987,6,9
6/16/87,65,26,8,57,,,,,1987,6,16
6/23/87,72,29.8,9,63,,,,,1987,6,23
6/30/87,84,39.9,6,78,1.67,0.01,0.01,0.01,1987,6,30
7/7/87,87,46.7,8,79,,,,,1987,7,7
7/14/87,89,52.1,9,80,,,,,1987,7,14
7/21/87,92,50.1,13,79,,,,,1987,7,21
7/28/87,97,65.6,9,88,0.12,0.01,0.01,0.01,1987,7,28
8/4/87,80,44.3,8,72,,,,,1987,8,4
8/11/87,83,50.8,10,73,,,,,1987,8,11
8/18/87,173,50.1,10,163,,,,,1987,8,18
8/25/87,9,64.6,9,,0.49,0.01,0.01,0.01,1987,8,25
9/1/87,86,24,10,76,,,,,1987,9,1
9/8/87,72,26.6,11,61,,,,,1987,9,8
9/15/87,58,23.9,13,45,,,,,1987,9,15
9/21/87,53,31.3,14,39,2.76,0.71,1.14,0.25,1987,9,21
9/29/87,56,33.4,12,44,,,,,1987,9,29
10/6/87,59,32.1,9,50,,,,,1987,10,6
10/13/87,54,31.8,6,48,,,,,1987,10,13
10/27/87,54,36.8,8,46,7.14,6.97,6.82,6.82,1987,10,27
1/22/88,,,,,3.58,0.45,,0.01,1988,1,22
2/24/88,,,,,0.40,0.30,,0.01,1988,2,24
3/23/88,,,,,0.50,0.20,0.01,0.01,1988,3,23
5/10/88,18,13.46,3,15,6.39,0.01,0.01,0.01,1988,5,10
5/11/88,,12.35,,,,,,,1988,5,11
5/17/88,27,13.18,10,17,,,,,1988,5,17
5/23/88,,13.88,,,,,,,1988,5,23
5/24/88,28,13.18,8,20,,,,,1988,5,24
5/31/88,30,13.88,8,22,,,,,1988,5,31
6/6/88,,6.52,,,,,,,1988,6,6
6/7/88,24,12.6,8,16,11.43,0.01,0.01,0.01,1988,6,7
6/8/88,,17.5,,,,,,,1988,6,8
6/14/88,36,23.4,11,25,,,,,1988,6,14
6/20/88,,35.3,,,,,,,1988,6,20
6/21/88,34,34.9,13,21,,,,,1988,6,21
6/28/88,28,41.3,13,15,,,,,1988,6,28
7/4/88,,60,,,,,,,1988,7,4
7/5/88,28,60,16,12,10.30,0.01,0.01,0.01,1988,7,5
7/12/88,29,45.6,8,21,,,,,1988,7,12
7/18/88,,41.8,,,,,,,1988,7,18
7/19/88,27,42.5,7,20,,,,,1988,7,19
7/21/88,,48.5,,,,,,,1988,7,21
7/26/88,29,39.2,7,22,,,,,1988,7,26
8/1/88,,46.4,,,,,,,1988,8,1
8/2/88,26,41,7,19,0.40,0.01,0.01,0.01,1988,8,2
8/9/88,29,34.7,8,21,,,,,1988,8,9
8/15/88,,47.9,,,,,,,1988,8,15
8/16/88,39,33.9,9,30,,,,,1988,8,16
8/23/88,39,46.2,10,29,,,,,1988,8,23
8/29/88,,56.5,,,,,,,1988,8,29
8/30/88,41,58.3,10,31,0.20,0.01,0.01,0.01,1988,8,30
9/6/88,144,63.7,89,55,,,,,1988,9,6
9/13/88,43,68.5,8,35,,,,,1988,9,13
9/20/88,49,48.2,13,36,,,,,1988,9,20
9/27/88,47,29.4,13,34,6.54,0.45,0.01,0.01,1988,9,27
10/4/88,47,30,11,36,,,,,1988,10,4
10/11/88,45,28.4,10,35,,,,,1988,10,11
10/18/88,47,43.9,10,37,,,,,1988,10,18
10/19/88,,42.7,,,,,,,1988,10,19
10/25/88,52,53.8,9,43,8.08,7.97,5.50,0.01,1988,10,25
12/7/88,,,,,4.34,0.35,0.05,0.01,1988,12,7
1/18/89,,,,,0.55,0.05,0.01,0.01,1989,1,18
2/22/89,,,,,0.10,0.01,0.01,0.01,1989,2,22
3/22/89,,,,,0.01,0.01,0.01,0.01,1989,3,22
5/16/89,16,8.6,6,10,,,,,1989,5,16
5/17/89,,11.5,,,,,,,1989,5,17
5/24/89,18,9.4,6,12,0.30,0.01,0.01,0.01,1989,5,24
5/30/89,23,11.2,7,16,,,,,1989,5,30
5/31/89,,11.2,,,,,,,1989,5,31
6/6/89,21,6.7,6,15,,,,,1989,6,6
6/13/89,35,17.2,7,28,,,,,1989,6,13
6/14/89,,16.4,,,,,,,1989,6,14
6/20/89,143,8,54,89,8.84,0.01,0.01,0.01,1989,6,20
6/27/89,247,17.1,211,36,,,,,1989,6,27
6/28/89,,18.6,,,,,,,1989,6,28
7/4/89,34,23.5,7,27,,,,,1989,7,4
7/11/89,50,52.7,7,43,,,,,1989,7,11
7/12/89,,56.1,,,,,,,1989,7,12
7/18/89,42,65.2,8,34,0.18,0.01,0.01,0.01,1989,7,18
7/25/89,37,88.7,8,29,,,,,1989,7,25
7/26/89,,67.7,,,,,,,1989,7,26
8/1/89,52,49.5,13,39,,,,,1989,8,1
8/8/89,38,48.8,11,27,,,,,1989,8,8
8/9/89,,47,,,,,,,1989,8,9
8/15/89,41,49.7,12,29,0.10,0.01,0.01,0.01,1989,8,15
8/22/89,34,49,10,24,,,,,1989,8,22
8/23/89,,52.9,,,,,,,1989,8,23
8/29/89,32,43.9,9,23,,,,,1989,8,29
9/5/89,28,33.8,9,19,,,,,1989,9,5
9/6/89,,40.5,,,,,,,1989,9,6
9/12/89,38,41.9,10,28,0.12,0.01,0.01,0.01,1989,9,12
9/19/89,33,16.4,9,24,,,,,1989,9,19
9/26/89,30,16.6,9,21,,,,,1989,9,26
10/3/89,33,22.4,8,25,,,,,1989,10,3
10/11/89,28,23.8,7,21,7.24,0.01,0.01,0.01,1989,10,11
10/18/89,,27.2,,,,,,,1989,10,18
10/24/89,16,25.6,8,8,5.80,3.70,0.01,0.01,1989,10,24
12/11/89,,,,,2.72,0.24,0.01,0.01,1989,12,11
1/15/90,,,,,0.12,0.24,0.01,0.01,1990,1,15
2/12/90,,,,,0.70,0.01,0.01,0.01,1990,2,12
3/12/90,,,,,0.01,0.01,0.01,0.01,1990,3,12
5/9/90,32,15,8,24,,,,,1990,5,9
5/16/90,24,9.9,8,16,9.95,0.70,0.01,0.01,1990,5,16
5/17/90,30,15,10,20,,,,,1990,5,17
5/30/90,34,8.5,9,25,,,,,1990,5,30
6/11/90,83,11,32,51,14.80,6.00,0.01,0.01,1990,6,11
6/14/90,39,9.5,9,30,,,,,1990,6,14
6/28/90,75,6.6,27,48,,,,,1990,6,28
7/5/90,,,,,13.00,0.65,0.01,0.01,1990,7,5
7/9/90,42,23,9,33,,,,,1990,7,9
7/12/90,59,36,11,48,,,,,1990,7,12
7/26/90,59,44,15,44,,,,,1990,7,26
8/8/90,60,48,15,45,4.45,0.01,0.01,0.01,1990,8,8
8/9/90,64,59,14,50,,,,,1990,8,9
8/23/90,62,54,17,45,,,,,1990,8,23
8/27/90,59,62,16,43,0.10,0.01,0.01,0.01,1990,8,27
9/6/90,,65,,,,,,,1990,9,6
9/13/90,16,,16,,,,,,1990,9,13
9/20/90,43,25,11,32,,,,,1990,9,20
9/29/90,,,,,5.90,0.01,0.01,0.01,1990,9,29
10/1/90,35,8.1,12,23,,,,,1990,10,1
10/18/90,43,20,11,32,,,,,1990,10,18
10/31/90,49,28,10,39,5.28,5.24,4.92,3.95,1990,10,31
12/13/90,,,,,5.30,1.40,0.01,0.01,1990,12,13
1/16/91,,,,,0.40,1.00,0.01,0.01,1991,1,16
2/13/91,,,,,1.00,0.01,0.01,0.01,1991,2,13
3/13/91,,,,,0.01,0.01,0.01,,1991,3,13
5/15/91,32,11.69,7,25,1.60,0.15,0.01,0.01,1991,5,15
5/29/91,39,6.52,8,31,,,,,1991,5,29
6/12/91,50,15.52,9,41,13.35,0.55,0.60,0.01,1991,6,12
6/26/91,62,76.86,11,51,,,,,1991,6,26
7/10/91,77,111.54,12,65,5.52,0.01,0.01,0.01,1991,7,10
7/24/91,37,30.76,10,27,,,,,1991,7,24
8/7/91,21,8.56,7,14,3.50,0.01,0.01,0.01,1991,8,7
8/21/91,22,12.15,8,14,,,,,1991,8,21
9/4/91,21,13.37,6,15,5.82,0.01,0.01,0.01,1991,9,4
9/18/91,28,18.86,11,17,,,,,1991,9,18
10/2/91,25,6.45,10,15,7.70,0.01,0.01,0.01,1991,10,2
10/16/91,,8.24,,,,,,,1991,10,16
10/29/91,44,9.88,12,32,7.32,7.10,7.10,7.14,1991,10,29
12/10/91,,,,,2.04,0.60,0.30,0.01,1991,12,10
3/18/92,,,,,1.46,1.38,0.84,0.01,1992,3,18
5/12/92,,,,,,,,,1992,5,12
5/13/92,23,15.77,6,17,0.33,0.01,0.01,0.01,1992,5,13
5/27/92,21,6.83,6,15,,,,,1992,5,27
6/10/92,29,6.01,7,22,2.10,0.10,0.01,0.01,1992,6,10
6/24/92,7,37.04,7,,,,,,1992,6,24
7/8/92,34,33.66,7,27,0.80,0.21,0.01,0.01,1992,7,8
7/22/92,41,45.22,10,31,,,,,1992,7,22
8/5/92,27,29.42,8,19,1.20,0.05,0.01,0.01,1992,8,5
8/19/92,25,19.13,5,20,,,,,1992,8,19
9/2/92,34,37.8,6,28,0.80,0.20,0.50,0.01,1992,9,2
9/16/92,30,26.24,6,24,,,,,1992,9,16
9/30/92,30,14.01,7,23,6.85,0.25,0.05,0.01,1992,9,30
10/13/92,28,18.7,7,21,,,,,1992,10,13
10/28/92,27,14.25,7,20,7.65,7.20,6.20,0.01,1992,10,28
1/13/93,,,,,3.02,0.36,0.01,0.01,1993,1,13
3/24/93,,,,,0.01,0.01,0.01,0.01,1993,3,24
5/3/93,22,14.45,,22,4.25,0.01,0.01,0.01,1993,5,3
5/17/93,19,10.29,6,13,,,,,1993,5,17
5/31/93,26,4.17,7,19,3.05,0.15,0.01,0.01,1993,5,31
6/14/93,49,46.19,6,43,,,,,1993,6,14
6/28/93,47,33.22,7,40,1.21,0.01,0.01,0.01,1993,6,28
7/12/93,33,18.18,5,28,,,,,1993,7,12
7/21/93,33,43.38,6,27,,,,,1993,7,21
7/26/93,35,53.25,4,31,0.90,0.01,0.01,0.01,1993,7,26
8/9/93,35,36.17,6,29,,,,,1993,8,9
8/23/93,40,38.05,6,34,0.66,0.01,0.01,0.01,1993,8,23
9/2/93,44,36.07,7,37,,,,,1993,9,2
9/20/93,45,22.13,8,37,6.30,0.01,0.01,0.01,1993,9,20
10/4/93,31,18.5,7,24,,,,,1993,10,4
10/27/93,31,37.05,6,25,8.70,7.55,5.75,0.01,1993,10,27
12/13/93,,,,,7.20,5.00,1.10,3.10,1993,12,13
3/21/94,,,,,5.92,0.40,0.10,0.01,1994,3,21
5/18/94,18,2.4,11,7,8.78,1.85,0.01,0.01,1994,5,18
6/1/94,27,19.79,6,21,,,,,1994,6,1
6/9/94,,,,,,,,,1994,6,9
6/15/94,6,18.06,6,,12.76,0.59,0.01,0.01,1994,6,15
6/27/94,38,28.81,7,31,,,,,1994,6,27
6/28/94,,,,,,,,,1994,6,28
7/13/94,49,68.33,5,44,6.10,0.04,0.01,0.01,1994,7,13
7/14/94,,,,,,,,,1994,7,14
7/27/94,63,77.09,7,56,,,,,1994,7,27
7/28/94,,,,,,,,,1994,7,28
8/9/94,,,,,,,,,1994,8,9
8/10/94,41,36.76,3,38,1.07,0.01,0.01,0.01,1994,8,10
8/18/94,3,,3,,,,,,1994,8,18
8/23/94,37,7.05,4,33,,,,,1994,8,23
8/24/94,,,,,,,,,1994,8,24
9/7/94,27,16.18,5,22,0.34,0.01,0.01,0.01,1994,9,7
9/8/94,,,,,,,,,1994,9,8
9/21/94,24,20.2,6,18,,,,,1994,9,21
10/5/94,21,17.76,5,16,6.21,0.01,0.01,0.01,1994,10,5
10/19/94,23,13.54,5,17,6.29,0.01,0.01,0.01,1994,10,19
12/13/94,,,,,7.86,5.90,4.09,0.30,1994,12,13
3/28/95,,,,,3.18,,,,1995,3,28
5/16/95,11,4.17,3,8,5.45,0.01,0.01,0.01,1995,5,16
5/30/95,17,2.88,4,13,5.87,,,,1995,5,30
6/13/95,18,4.99,3,15,,,,,1995,6,13
6/27/95,35,65.06,8,27,0.01,0.01,0.01,0.01,1995,6,27
7/11/95,27,2.56,11,16,,,,,1995,7,11
7/25/95,30,39.44,6,24,0.22,0.01,0.01,0.01,1995,7,25
8/8/95,40,50.66,6,34,,,,,1995,8,8
8/22/95,58,65.9,9,49,0.26,0.25,0.26,0.01,1995,8,22
9/5/95,61,57.55,6,55,,,,,1995,9,5
9/19/95,61,62.92,6,55,0.36,0.01,0.01,0.01,1995,9,19
10/3/95,18,6.79,5,13,,,,,1995,10,3
10/30/95,19,0.97,6,13,6.70,7.02,6.61,6.72,1995,10,30
5/21/96,8,1.73,4,4,3.30,0.60,0.01,0.01,1996,5,21
6/3/96,30,4.85,20,10,,,,,1996,6,3
6/17/96,13,1.42,9,4,1.99,1.09,0.01,0.01,1996,6,17
6/26/96,15,0.85,10,5,,,,,1996,6,26
7/2/96,17,6.41,11,6,,,,,1996,7,2
7/9/96,16,3.48,10,6,,,,,1996,7,9
7/15/96,68,5,43,25,0.48,0.01,0.01,0.01,1996,7,15
7/23/96,25,4.73,10,15,,,,,1996,7,23
7/29/96,35,5.72,18,17,,,,,1996,7,29
8/6/96,24,7.02,10,14,,,,,1996,8,6
8/12/96,31,10.26,10,21,1.08,0.39,0.01,0.01,1996,8,12
8/20/96,23,7.47,11,12,,,,,1996,8,20
8/26/96,24,7.84,11,13,,,,,1996,8,26
9/3/96,33,11.91,15,18,,,,,1996,9,3
9/9/96,29,11.55,12,17,2.00,0.14,0.01,0.01,1996,9,9
9/18/96,28,6,15,13,,,,,1996,9,18
9/23/96,27,8.51,9,18,,,,,1996,9,23
10/7/96,34,27.13,7,27,,,,,1996,10,7
10/30/96,6,51.38,6,,8.10,6.70,0.21,0.01,1996,10,30
12/16/96,,,,,5.68,0.94,0.01,0.01,1996,12,16
3/22/97,,,,,0.16,0.01,0.01,0.01,1997,3,22
5/12/97,40,0.92,15,25,1.32,0.01,0.01,0.01,1997,5,12
5/22/97,35,6.15,9,26,1.93,0.01,0.01,0.01,1997,5,22
5/26/97,38,17.55,10,28,,,,,1997,5,26
6/2/97,19,4.27,6,13,,,,,1997,6,2
6/9/97,32,4.98,8,24,,,,,1997,6,9
6/11/97,,,,,,,,,1997,6,11
6/18/97,27,27.44,6,21,9.61,0.01,0.01,0.01,1997,6,18
6/23/97,94,53.1,8,86,,,,,1997,6,23
7/2/97,35,41.64,5,30,,,,,1997,7,2
7/7/97,45,60,5,40,,,,,1997,7,7
7/14/97,27,46.74,5,22,,0.01,0.01,0.01,1997,7,14
7/21/97,30,43.4,6,24,,,,,1997,7,21
7/28/97,22,28.85,7,15,,,,,1997,7,28
8/6/97,16,5.31,5,11,,,,,1997,8,6
8/11/97,25,12.49,8,17,1.02,0.01,0.01,0.01,1997,8,11
8/18/97,28,25.89,8,20,,,,,1997,8,18
8/25/97,29,22.85,7,22,,,,,1997,8,25
9/4/97,55,26.45,11,44,,,,,1997,9,4
9/8/97,37,33.81,8,29,0.01,0.01,0.01,0.01,1997,9,8
9/15/97,57,53.1,10,47,,,,,1997,9,15
9/22/97,49,47.24,9,40,,,,,1997,9,22
10/15/97,42,51.44,8,34,8.38,0.01,0.01,0.01,1997,10,15
10/29/97,56,34.43,14,42,4.96,5.09,4.80,4.80,1997,10,29
12/13/97,,,,,1.04,0.23,0.01,0.01,1997,12,13
3/23/98,,,,,0.01,0.01,0.01,0.01,1998,3,23
5/6/98,31,47.66,7,24,1.66,0.07,0.01,0.01,1998,5,6
5/20/98,40,19.99,8,32,,,,,1998,5,20
6/3/98,64,23.28,11,53,0.84,0.01,0.01,0.01,1998,6,3
6/17/98,228,67.61,72,156,,,,,1998,6,17
7/1/98,248,39.74,196,52,0.01,0.01,0.01,0.01,1998,7,1
7/15/98,48,13.55,15,33,,,,,1998,7,15
7/29/98,33,7.32,9,24,1.33,0.01,0.01,0.01,1998,7,29
8/12/98,31,12.17,8,23,,,,,1998,8,12
8/13/98,21,11.03,,21,,,,,1998,8,13
8/26/98,37,11.99,10,27,0.48,0.01,0.01,0.01,1998,8,26
9/9/98,34,17.07,8,26,,,,,1998,9,9
9/23/98,39,18.02,11,28,0.21,0.01,0.01,0.01,1998,9,23
10/7/98,42,30.47,10,32,,,,,1998,10,7
10/26/98,40,32.88,10,30,7.25,3.86,0.01,0.01,1998,10,26
5/12/99,,,,,0.47,0.01,0.01,0.01,1999,5,12
5/27/99,115,4.95,71,44,,,,,1999,5,27
6/9/99,33,11.07,9,24,2.95,0.59,0.01,0.01,1999,6,9
6/23/99,39,60.86,,39,,,,,1999,6,23
7/7/99,54,68.55,13,41,0.47,0.01,0.01,0.01,1999,7,7
7/20/99,41,27.99,10,31,,,,,1999,7,20
8/5/99,32,19.7,10,22,1.20,0.01,0.01,0.01,1999,8,5
8/17/99,28,25.18,11,17,,,,,1999,8,17
9/1/99,30,10.79,11,19,0.45,0.01,0.01,0.01,1999,9,1
9/15/99,31,29.32,8,23,,,,,1999,9,15
9/29/99,19,19.14,7,12,0.55,0.01,0.01,0.01,1999,9,29
10/20/99,32,15,7,25,6.39,5.50,0.01,0.01,1999,10,20
5/3/00,27,7.36,9,18,9.40,5.30,0.01,0.01,2000,5,3
5/17/00,25,3.91,6,19,,,,,2000,5,17
5/31/00,33,9.63,9,24,9.23,0.57,0.01,0.01,2000,5,31
6/14/00,26,11.75,7,19,,,,,2000,6,14
6/28/00,34,10.41,12,22,0.19,0.01,0.01,0.01,2000,6,28
7/12/00,40,55.82,7,33,,,,,2000,7,12
7/26/00,27,8.32,5,22,0.01,0.48,0.01,0.01,2000,7,26
8/10/00,19,12.86,3,16,,,,,2000,8,10
8/22/00,23.25,17.6,0.25,23,,,,,2000,8,22
9/6/00,42,39.58,12,30,,,,,2000,9,6
9/20/00,36,17.05,5,31,0.48,0.01,0.01,0.01,2000,9,20
10/4/00,24,16.5,1,23,,,,,2000,10,4
10/24/00,27,23.69,8,19,6.37,0.48,0.01,0.01,2000,10,24
5/16/01,18.25,6.29,0.25,18,,,,,2001,5,16
5/30/01,28,4.54,8,20,0.56,0.01,0.01,0.01,2001,5,30
6/13/01,29,8.21,7,22,,,,,2001,6,13
6/27/01,28,25.76,3,25,0.56,0.44,0.33,0.33,2001,6,27
7/11/01,34,17.78,10,24,,,,,2001,7,11
7/25/01,20,7.3,8,12,0.56,0.01,0.01,0.01,2001,7,25
8/9/01,33,6.96,12,21,,,,,2001,8,9
8/22/01,37,16.12,10,27,0.56,0.01,0.01,2.88,2001,8,22
9/6/01,42,22.5,10,32,,,,,2001,9,6
9/17/01,48,26.19,13,35,1.60,0.50,0.01,0.01,2001,9,17
10/3/01,36,12.83,8,28,,,,,2001,10,3
10/24/01,33,17.95,9,24,5.98,5.42,0.01,0.01,2001,10,24
5/22/02,22,3.47,9,13,8.94,4.31,0.01,0.01,2002,5,22
6/5/02,23,8.36,8,15,13.18,1.38,0.39,0.34,2002,6,5
6/18/02,35,9.34,11,24,,,,,2002,6,18
7/2/02,29,12.31,11,18,9.26,1.03,0.49,0.11,2002,7,2
7/16/02,22,16.59,6,16,,,,,2002,7,16
7/30/02,26,11.7,7,19,0.86,0.43,0.11,0.01,2002,7,30
8/13/02,40,20.35,9,31,,,,,2002,8,13
8/27/02,41,13.38,11,30,1.54,0.57,0.01,0.01,2002,8,27
9/10/02,44,15.53,13,31,,,,,2002,9,10
9/24/02,45,30.98,9,36,1.30,0.53,0.01,0.01,2002,9,24
10/8/02,45,25.04,9,36,,,,,2002,10,8
10/28/02,48,18.32,11,37,,,,,2002,10,28
5/5/03,17,4.93,7,10,12.26,4.45,0.61,0.01,2003,5,5
5/20/03,25,5.58,7,18,10.14,0.60,0.01,0.01,2003,5,20
6/2/03,24,7.59,6,18,,,,,2003,6,2
6/16/03,33,17.49,5,28,12.61,1.00,0.01,0.01,2003,6,16
6/30/03,15,19.66,4,11,,,,,2003,6,30
7/14/03,17,14.74,12,5,9.63,0.39,0.01,0.01,2003,7,14
7/28/03,33,13.42,8,25,,,,,2003,7,28
8/11/03,38,19.07,2,36,5.47,0.01,0.01,0.01,2003,8,11
8/25/03,45,13.89,9,36,,,,,2003,8,25
9/8/03,36,13.82,10,26,5.99,0.01,0.01,0.01,2003,9,8
9/22/03,32,25.64,6,26,,,,,2003,9,22
10/6/03,27,10.27,8,19,6.61,3.28,0.01,0.18,2003,10,6
10/28/03,36,17.4,9,27,6.12,5.81,5.59,0.01,2003,10,28
5/12/04,27,21.85,6,21,8.48,2.94,0.01,0.01,2004,5,12
5/26/04,19,6.63,4,15,,,,,2004,5,26
6/9/04,30,4.9,10,20,8.95,0.38,0.01,0.01,2004,6,9
6/23/04,39,13.75,5,34,,,,,2004,6,23
7/7/04,36,49.4,5,31,6.27,0.09,0.01,0.01,2004,7,7
7/20/04,38,48.43,8,30,,,,,2004,7,20
7/21/04,31,37.8,8,23,,,,,2004,7,21
7/22/04,,,,,,,,,2004,7,22
8/4/04,28,14.33,9,19,1.05,0.64,0.37,0.50,2004,8,4
8/18/04,41,20.18,12,29,,,,,2004,8,18
9/1/04,40,18.05,9,31,1.28,0.55,0.28,0.10,2004,9,1
9/15/04,36,16.25,11,25,,,,,2004,9,15
9/29/04,31,13.2,9,22,1.28,0.01,0.01,0.01,2004,9,29
10/13/04,33,24.07,9,24,,,,,2004,10,13
10/26/04,34,24.85,9,25,5.26,4.21,0.01,0.01,2004,10,26
5/3/05,33,12.18,7,26,9.00,9.00,0.28,0.01,2005,5,3
5/11/05,24,9.32,7,17,12.21,0.56,0.19,0.10,2005,5,11
5/25/05,29,5.64,6,23,,,,,2005,5,25
6/8/05,39,26.26,8,31,10.21,0.01,0.01,0.01,2005,6,8
6/22/05,49,58.18,9,40,,,,,2005,6,22
7/6/05,34,48.09,7,27,4.44,0.94,0.57,0.57,2005,7,6
7/14/05,,19.3,,,,,,,2005,7,14
7/20/05,22,11.77,8,14,,,,,2005,7,20
8/3/05,45,10.21,10,35,0.51,0.01,0.01,0.01,2005,8,3
8/17/05,32,21.16,8,24,,,,,2005,8,17
8/31/05,32,21.78,7,25,1.02,0.30,0.20,0.01,2005,8,31
9/14/05,35,14.81,10,25,,,,,2005,9,14
9/28/05,24,19.91,5,19,2.42,1.12,0.81,0.51,2005,9,28
10/12/05,29,15.2,8,21,,,,,2005,10,12
10/31/05,23,14.98,7,16,7.26,6.35,0.20,0.31,2005,10,31
5/8/06,19,0.82,8,11,13.10,0.64,0.01,0.01,2006,5,8
5/24/06,30,1.51,3,27,,,,,2006,5,24
6/7/06,33,18.48,7,26,13.82,0.77,0.49,0.30,2006,6,7
6/21/06,39,54.78,5,34,,,,,2006,6,21
7/4/06,22,4.39,7,15,10.56,1.02,2.05,0.01,2006,7,4
7/19/06,29,20.18,10,19,,,,,2006,7,19
8/2/06,32,4.97,10,22,16.13,0.96,0.19,0.19,2006,8,2
8/16/06,38,29.69,11,27,,,,,2006,8,16
8/30/06,33,14.51,9,24,18.07,0.74,0.01,0.51,2006,8,30
9/13/06,30,10.73,10,20,,,,,2006,9,13
9/27/06,33,,10,23,7.21,0.01,0.01,0.01,2006,9,27
10/11/06,39,2.17,8,31,,,,,2006,10,11
10/31/06,61,37.21,11,50,10.34,9.85,9.88,9.05,2006,10,31
5/9/07,29,6.6,10,19,12.29,0.19,0.01,0.01,2007,5,9
5/22/07,34,7.65,9,25,,,,,2007,5,22
6/5/07,38,14.39,8,30,11.00,2.68,1.41,0.84,2007,6,5
6/19/07,41,61.16,6,35,,,,,2007,6,19
7/3/07,38,84.66,6,32,7.78,0.18,0.01,0.01,2007,7,3
7/17/07,41,19.52,12,29,,,,,2007,7,17
7/31/07,34,11.57,9,25,5.00,0.50,0.18,0.01,2007,7,31
8/14/07,37,25.53,12,25,,,,,2007,8,14
8/28/07,42,30.64,12,30,1.90,0.01,0.01,0.01,2007,8,28
9/11/07,46,39.77,12,34,,,,,2007,9,11
9/25/07,40,47.94,7,33,6.14,0.01,0.01,0.01,2007,9,25
10/9/07,38,63.12,8,30,,,,,2007,10,9
10/23/07,41,54.85,10,31,,,,,2007,10,23
5/13/08,31,12.27,10,21,2.03,0.01,0.01,0.01,2008,5,13
5/27/08,27,11.55,6,21,,,,,2008,5,27
6/10/08,33,7.59,7,26,11.41,0.01,0.01,0.01,2008,6,10
6/24/08,42,39.45,9,33,,,,,2008,6,24
7/8/08,41,60.1,8,33,4.37,0.01,0.01,0.01,2008,7,8
7/22/08,21,8.17,9,12,,,,,2008,7,22
8/5/08,21,11.2,7,14,0.65,0.01,0.01,0.01,2008,8,5
8/19/08,407,23.18,384,23,,,,,2008,8,19
9/2/08,29,13.55,8,21,1.04,0.01,0.01,0.01,2008,9,2
9/16/08,29,13.21,9,20,,,,,2008,9,16
9/30/08,33,20.34,8,25,4.42,0.01,0.01,0.01,2008,9,30
10/14/08,8,2.49,2,6,,,,,2008,10,14
11/10/08,,,,,4.39,4.39,4.32,4.39,2008,11,10
5/12/09,23,8.8,7,16,4.68,0.01,0.01,0.01,2009,5,12
