"date","Year","Month","Day","Obs_TDP","nondiazoPP","diazoPP"
1990-05-30,1990,5,30,9,24.9282024687062,0.0717975312937741
1990-06-11,1990,6,11,32,49.9719176633511,1.02808233664894
1990-06-14,1990,6,14,9,29.3952456843242,0.604754315675848
1990-06-28,1990,6,28,27,33.7841001144915,14.2158998855085
1990-07-09,1990,7,9,9,3.28705049059126,29.7129495094087
1990-07-12,1990,7,12,11,4.78116434995092,43.2188356500491
1990-07-26,1990,7,26,15,6.24977760126513,37.7502223987349
1990-08-08,1990,8,8,15,8.62706685151008,36.3729331484899
1990-08-09,1990,8,9,14,9.5856298350112,40.4143701649888
1990-08-23,1990,8,23,17,31.1316422451731,13.8683577548269
1990-08-27,1990,8,27,16,29.7480137009432,13.2519862990568
1990-09-20,1990,9,20,11,24.4807226910619,7.51927730893814
1990-10-18,1990,10,18,11,30.1972590291343,1.8027409708657
1991-05-29,1991,5,29,8,31,0
1991-06-12,1991,6,12,9,34.9472278808738,6.05277211912621
1991-06-26,1991,6,26,11,6.11355041115946,44.8864495888405
1991-07-10,1991,7,10,12,3.02017418471902,61.979825815281
1991-07-24,1991,7,24,10,8.64024001316798,18.359759986832
1991-08-07,1991,8,7,7,9.3383258340078,4.6616741659922
1991-08-21,1991,8,21,8,2.53137945971075,11.4686205402892
1991-09-04,1991,9,4,6,5.09264797763098,9.90735202236902
1991-09-18,1991,9,18,11,10.9930676846757,6.00693231532434
1991-10-02,1991,10,2,10,14.4373313613582,0.562668638641786
1992-05-27,1992,5,27,6,14.9305870027371,0.0694129972629443
1992-06-10,1992,6,10,7,18.9752263778426,3.02477362215739
1992-07-08,1992,7,8,7,2.19786478698737,24.8021352130126
1992-07-22,1992,7,22,10,2.42062902478285,28.5793709752172
1992-08-05,1992,8,5,8,2.42702704739117,16.5729729526088
1992-08-19,1992,8,19,5,5.02203910554435,14.9779608944556
1992-09-02,1992,9,2,6,8.09930216254589,19.9006978374541
1992-09-16,1992,9,16,6,8.89580346082157,15.1041965391784
1992-09-30,1992,9,30,7,20.3084352294994,2.69156477050063
