aaa_rtrvr_qry_0003,,,,,,,,,,,,,,,,,
location,sublocation,start_date,manipulation_type,item,item_description,manipulation_method,method_description,percent_purity,specific_gravity,amount,amount_units,corrected_amount,corrected_units,start_time,end_time,end_date,observation
227,LA,2014-08-19,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-08-19,
227,LA,2014-08-27,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-08-27,
227,LA,2014-09-03,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-09-03,
227,LA,2014-09-11,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-09-11,
227,LA,2014-09-16,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-09-16,
227,LA,2014-09-23,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-09-23,
227,LA,2014-09-30,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-09-30,
227,LA,2014-10-07,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-10-07,
227,LA,2014-10-15,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-10-15,
227,LA,2014-10-23,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BDS,SUBSTANCE DRAINS FROM BARREL/DRUM ON SHORE,,,2.6,L,,,,,2014-10-23,
