location,sublocation,start_date,manipulation_type,item,item_description,manipulation_method,method_description,percent_purity,specific_gravity,amount,amount_units,corrected_amount,corrected_units,start_time,end_time,end_date,observation
227,LA,13-Oct-70,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,13-Oct-70,
227,LA,18-May-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,18-May-71,
227,LA,25-May-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,25-May-71,
227,LA,01-Jun-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,01-Jun-71,
227,LA,08-Jun-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,08-Jun-71,
227,LA,15-Jun-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,15-Jun-71,
227,LA,22-Jun-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,22-Jun-71,
227,LA,29-Jun-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,29-Jun-71,
227,LA,06-Jul-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,06-Jul-71,
227,LA,13-Jul-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,13-Jul-71,
227,LA,20-Jul-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,20-Jul-71,
227,LA,27-Jul-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,27-Jul-71,
227,LA,03-Aug-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,03-Aug-71,
227,LA,10-Aug-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,10-Aug-71,
227,LA,17-Aug-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,17-Aug-71,
227,LA,24-Aug-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,24-Aug-71,
227,LA,31-Aug-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,31-Aug-71,
227,LA,07-Sep-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,07-Sep-71,
227,LA,14-Sep-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,14-Sep-71,
227,LA,21-Sep-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,21-Sep-71,
227,LA,28-Sep-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,28-Sep-71,
227,LA,05-Oct-71,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,05-Oct-71,
227,LA,16-May-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,16-May-72,
227,LA,23-May-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,23-May-72,
227,LA,30-May-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,30-May-72,
227,LA,06-Jun-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,06-Jun-72,
227,LA,13-Jun-72,CHE,NPA,PHOSPHORIC ACID (PHOSPHORUS SOURCE) - [ H3PO4 ],BSD,DISSOLVED SUBSTANCE DRAINS FROM MOVING BOAT,85,1.686,2.5,L,3.58,kg,,,13-Jun-72,
