z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	ÊPO4adsc
12.9	3.073669388	385.9003159	1.80E-05	0.512408943	1.57E-49	3.56E-53	0.06143711	3.45E-11	5.65E-11	2.14E-02	0.045870012	2.01E-05	0.029924229	1.55E-06	3.16E-06	2.05E-19	4.22E-07	0.001904156	547.4482308	0.116276785	3.320916104	11121.498	0.366724262	3.30610000000000e-319	0.164710719	3.98E-05	65.65331112	0.204912918	0.001090047	1.553906995	4.50600000000000e-321	0.011545851	4.95E-09	6.57E-02	2.95962600000000e-318	2.34503000000000e-319	1.138203813
13	3.073366112	386.4245811	1.82E-05	0.512071376	6.14E-50	1.38E-53	0.061410937	3.45E-11	5.52E-11	2.10E-02	0.045944322	1.96E-05	0.029751982	1.52E-06	3.08E-06	1.95E-19	3.95E-07	0.001904215	547.4651433	0.118796525	3.341784677	11121.30852	0.367806388	3.30610000000000e-319	0.164701436	3.98E-05	64.85822634	0.204977376	0.001090208	1.554408345	4.53600000000000e-321	0.011430933	5.08E-09	6.62E-02	2.96725500000000e-318	2.34503000000000e-319	1.115995172
13.1	3.072703683	386.9095623	1.83E-05	0.511731116	2.41E-50	5.34E-54	0.061382537	3.45E-11	5.39E-11	2.06E-02	0.046018239	1.90E-05	0.029580033	1.48E-06	3.00E-06	1.86E-19	3.70E-07	0.001904271	547.4812739	0.121348357	3.362430603	11121.11884	0.368877788	3.30610000000000e-319	0.164692061	3.98E-05	64.07724144	0.205039378	0.001090359	1.554890822	4.56000000000000e-321	0.011314824	5.21E-09	6.67E-02	2.97278300000000e-318	2.34503000000000e-319	1.094266134
13.2	3.07168865	387.3558908	1.85E-05	0.511388236	9.42E-51	2.07E-54	0.061351991	3.45E-11	5.26E-11	2.02E-02	0.046091763	1.85E-05	0.029408401	1.45E-06	2.93E-06	1.77E-19	3.47E-07	0.001904325	547.4966362	0.123932149	3.382852909	11120.929	0.369938559	3.30610000000000e-319	0.164682598	3.98E-05	63.31009074	0.205099032	0.001090502	1.555355245	4.59000000000000e-321	0.011197604	5.34E-09	6.73E-02	2.98041000000000e-318	2.34503000000000e-319	1.073010105
13.3	3.070327599	387.7642026	1.87E-05	0.511042805	3.69E-51	8.01E-55	0.061319379	3.45E-11	5.14E-11	1.98E-02	0.046164897	1.80E-05	0.029237105	1.42E-06	2.85E-06	1.68E-19	3.25E-07	0.001904376	547.511244	0.126547753	3.403050696	11120.73903	0.370988797	3.30610000000000e-319	0.164673051	3.98E-05	62.55651295	0.205156442	0.001090635	1.555802409	4.61500000000000e-321	0.01107935	5.47E-09	6.78E-02	2.98587600000000e-318	2.34503000000000e-319	1.052220463
13.4	3.068627153	388.1351379	1.89E-05	0.510694894	1.45E-51	3.10E-55	0.061284781	3.44E-11	5.02E-11	1.94E-02	0.04623764	1.76E-05	0.029066165	1.38E-06	2.78E-06	1.60E-19	3.04E-07	0.001904424	547.5251107	0.129195009	3.423023141	11120.54895	0.372028595	3.30610000000000e-319	0.164663423	3.98E-05	61.81625107	0.205211712	0.00109076	1.556233093	4.64400000000000e-321	0.010960142	5.61E-09	6.83E-02	2.99350400000000e-318	2.34503000000000e-319	1.031890568
13.5	3.066593964	388.4693405	1.90E-05	0.510344574	5.67E-52	1.20E-55	0.061248274	3.44E-11	4.90E-11	1.90E-02	0.046309994	1.71E-05	0.028895601	1.35E-06	2.71E-06	1.53E-19	2.85E-07	0.00190447	547.53825	0.131873742	3.442769495	11120.35879	0.373058046	3.30610000000000e-319	0.164653718	3.98E-05	61.0890524	0.205264939	0.001090877	1.556648053	4.67000000000000e-321	0.010840055	5.74E-09	6.88E-02	2.99903300000000e-318	2.34503000000000e-319	1.012013764
13.6	3.064234709	388.7674575	1.92E-05	0.509991914	2.22E-52	4.66E-56	0.061209933	3.44E-11	4.79E-11	1.86E-02	0.046381961	1.67E-05	0.028725429	1.32E-06	2.64E-06	1.46E-19	2.67E-07	0.001904514	547.5506751	0.134583764	3.462289087	11120.16859	0.374077241	3.30610000000000e-319	0.164643941	3.98E-05	60.37466842	0.205316221	0.001090987	1.557048024	4.69400000000000e-321	0.010719165	5.88E-09	6.93E-02	3.00666000000000e-318	2.34503000000000e-319	0.992583381
13.7	3.061556088	389.030139	1.94E-05	0.509636983	8.70E-53	1.80E-56	0.061169831	3.44E-11	4.68E-11	1.82E-02	0.046453541	1.62E-05	0.02855567	1.29E-06	2.57E-06	1.39E-19	2.50E-07	0.001904555	547.5623995	0.137324873	3.481581317	11119.97838	0.37508627	3.30610000000000e-319	0.164634094	3.98E-05	59.6728548	0.205365652	0.001091091	1.557433723	4.71300000000000e-321	0.010597546	6.02E-09	6.98E-02	3.01435000000000e-318	2.34503000000000e-319	0.973592744
13.8	3.058564817	389.2580375	1.95E-05	0.509279851	3.41E-53	6.99E-57	0.061128043	3.43E-11	4.57E-11	1.79E-02	0.046524735	1.58E-05	0.028386342	1.26E-06	2.51E-06	1.32E-19	2.35E-07	0.001904593	547.5734363	0.140096851	3.500645661	11119.78817	0.376085219	3.30610000000000e-319	0.164624183	3.98E-05	58.98337133	0.205413323	0.001091187	1.557805846	4.74000000000000e-321	0.010475272	6.16E-09	7.04E-02	3.02306000000000e-318	2.34503000000000e-319	0.955035173
