"Temp.Observed","Date","Temp.Seasonal","Temp.Trend","Temp.Random","Temp.Detrended"
-23,1978-12-08,-13.8283073964598,0.601062324031239,-9.77275492757144,-23.6010623240312
-24.5,1978-12-09,-14.5840937937705,0.595442800284045,-10.5113490065135,-25.095442800284
-20.5,1978-12-10,-14.6263385244146,0.58982327653685,-6.46348475212225,-21.0898232765369
-13.25,1978-12-11,-15.1060832550587,0.584203752789656,1.27187950226901,-13.8342037527897
-7,1978-12-12,-15.2410363190361,0.578584229042462,7.66245208999362,-7.57858422904246
-13.25,1978-12-13,-15.1957921971287,0.572964705295267,1.37282749183343,-13.8229647052953
-9.25,1978-12-14,-15.4755480752213,0.567345181548073,5.65820289367325,-9.81734518154807
-5.5,1978-12-15,-15.9584289533139,0.561725657800878,9.89670329551305,-6.06172565780088
-9.75,1978-12-16,-15.4527681647399,0.556106134053684,5.1466620306862,-10.3061061340537
-9.5,1978-12-17,-15.0189823761658,0.55048661030649,4.96849576585935,-10.0504866103065
-14.5,1978-12-18,-15.5412085463894,0.544867086559295,0.496341459830127,-15.0448670865593
-12.75,1978-12-19,-15.682184716613,0.539247562812101,2.39293715380091,-13.2892475628121
-8.75,1978-12-20,-16.4252442201699,0.533628039064907,7.14161618110502,-9.28362803906491
-13,1978-12-21,-16.1183037237268,0.528008515317712,2.59029520840912,-13.5280085153177
-15,1978-12-22,-15.8321965606171,0.522388991570518,0.309807569046572,-15.5223889915705
-19.75,1978-12-23,-16.0648097593811,0.52118320042258,-4.20637344104145,-20.2711832004226
-22.25,1978-12-24,-16.9630479581452,0.519977409274643,-5.80692945112946,-22.7699774092746
-22.75,1978-12-25,-18.3852444902426,0.518771618126706,-4.88352712788415,-23.2687716181267
-19.5,1978-12-26,-17.5699410223399,0.517565826978769,-2.44762480463883,-20.0175658269788
-25,1978-12-27,-17.0858875544373,0.516360035830832,-8.43047248139352,-25.5163600358308
-16.5,1978-12-28,-16.9454716785951,0.515154244682894,-0.0696825660877717,-17.0151542446829
-15.75,1978-12-29,-17.2133891360863,0.513948453534957,0.949440682551324,-16.263948453535
-25.75,1978-12-30,-17.5948482602441,0.51274266238702,-8.66789440214293,-26.262742662387
-27.75,1978-12-31,-18.2200573844019,0.511536871239083,-10.0414794868372,-28.2615368712391
-33,1979-01-01,-18.1671415085597,0.510331080091145,-15.3431895715314,-33.5103310800911
-28.75,1979-01-02,-17.9695285507165,0.509125288943208,-11.2895967382267,-29.2591252889432
