"Year","Month","Day","TPI","TPI.constant"
2011,1,22,12.1475409821311,12
2011,1,23,12.1493624757377,12
2011,1,24,12.1511839693443,12
2011,1,25,12.1530054629508,12
2011,1,26,12.1548269565574,12
2011,1,27,12.1566484501639,12
2011,1,28,12.1584699437705,12
2011,1,29,12.160291437377,12
2011,1,30,12.1621129309836,12
2011,1,31,12.1639344245902,12
2011,2,1,12.1657559181967,12
2011,2,2,12.1675774118033,12
2011,2,3,12.1693989054098,12
2011,2,4,12.1712203990164,12
2011,2,5,12.173041892623,12
2011,2,6,12.1748633862295,12
2011,2,7,12.1766848798361,12
2011,2,8,12.1785063734426,12
2011,2,9,12.1803278670492,12
2011,2,10,12.1821493606557,12
2011,2,11,12.1839708542623,12
2011,2,12,12.1857923478689,12
2011,2,13,12.1876138414754,12
2011,2,14,12.189435335082,12
2011,2,15,12.1912568286885,12
2011,2,16,12.1930783222951,12
2011,2,17,12.1948998159016,12
2011,2,18,12.1967213095082,12
2011,2,19,12.1985428031148,12
2011,2,20,12.2003642967213,12
2011,2,21,12.2021857903279,12
2011,2,22,12.2040072839344,12
2011,2,23,12.205828777541,12
2011,2,24,12.2076502711475,12
2011,2,25,12.2094717647541,12
2011,2,26,12.2112932583607,12
2011,2,27,12.2131147519672,12
2011,2,28,12.2149362455738,12
2011,3,1,12.2167577391803,12
2011,3,2,12.2185792327869,12
2011,3,3,12.2204007263934,12
2011,3,4,12.22222222,12
2011,3,5,12.2240437136066,12
2011,3,6,12.2258652072131,12
2011,3,7,12.2276867008197,12
2011,3,8,12.2295081944262,12
2011,3,9,12.2313296880328,12
2011,3,10,12.2331511816393,12
2011,3,11,12.2349726752459,12
2011,3,12,12.2367941688525,12
2011,3,13,12.238615662459,12
2011,3,14,12.2404371560656,12
2011,3,15,12.2422586496721,12
2011,3,16,12.2440801432787,12
2011,3,17,12.2459016368852,12
2011,3,18,12.2477231304918,12
2011,3,19,12.2495446240984,12
2011,3,20,12.2513661177049,12
2011,3,21,12.2531876113115,12
2011,3,22,12.255009104918,12
2011,3,23,12.2568305985246,12
2011,3,24,12.2586520921311,12
2011,3,25,12.2604735857377,12
2011,3,26,12.2622950793443,12
2011,3,27,12.2641165729508,12
2011,3,28,12.2659380665574,12
2011,3,29,12.2677595601639,12
2011,3,30,12.2695810537705,12
2011,3,31,12.271402547377,12
2011,4,1,12.2732240409836,12
2011,4,2,12.2750455345902,12
2011,4,3,12.2768670281967,12
2011,4,4,12.2786885218033,12
2011,4,5,12.2805100154098,12
2011,4,6,12.2823315090164,12
2011,4,7,12.284153002623,12
2011,4,8,12.2859744962295,12
2011,4,9,12.2877959898361,12
2011,4,10,12.2896174834426,12
2011,4,11,12.2914389770492,12
2011,4,12,12.2932604706557,12
2011,4,13,12.2950819642623,12
2011,4,14,12.2969034578689,12
2011,4,15,12.2987249514754,12
2011,4,16,12.300546445082,12
2011,4,17,12.3023679386885,12
2011,4,18,12.3041894322951,12
2011,4,19,12.3060109259016,12
2011,4,20,12.3078324195082,12
2011,4,21,12.3096539131148,12
2011,4,22,12.3114754067213,12
2011,4,23,12.3132969003279,12
2011,4,24,12.3151183939344,12
2011,4,25,12.316939887541,12
2011,4,26,12.3187613811475,12
2011,4,27,12.3205828747541,12
2011,4,28,12.3224043683607,12
2011,4,29,12.3242258619672,12
2011,4,30,12.3260473555738,12
2011,5,1,12.3278688491803,12
2011,5,2,12.3296903427869,12
2011,5,3,12.3315118363934,12
2011,5,4,12.33333333,12.33333333
2011,5,5,12.16666666375,12.33333333
2011,5,6,11.9999999975,12.33333333
2011,5,7,11.83333333125,12.33333333
2011,5,8,11.666666665,12.33333333
2011,5,9,11.49999999875,12.33333333
2011,5,10,11.3333333325,12.33333333
2011,5,11,11.16666666625,12.33333333
2011,5,12,11,11
2011,5,13,11,11
2011,5,14,11,11
2011,5,15,11,11
2011,5,16,11,11
2011,5,17,11,11
