z	 OMzt	 OMbzt	 DOM1zt	 DOM2zt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 OHzt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt
4.3529	0.0010697	8.7124	0.00016628	0.032968	0	0	0.45823	4.09E-09	6.03E-65	2.9644e-323	0.1	0	1.17E-10	0.011018	0.00062944	5.10E-20	6.10E-103	3.66E-09	9.17E-05	0	2.60E-56	5.8608	0.013364	0.0064538	0.14295	0.0072744	1.83E-06	0.0092115	2.37E-05	0.72023	1.16E-15
4.4706	0.0010249	8.4567	0.00016738	0.03254	0	0	0.45507	4.09E-09	1.15E-66	2.9644e-323	0.1	0	1.17E-10	0.011015	0.00062752	5.30E-20	6.25E-103	3.75E-09	9.38E-05	0	2.67E-56	5.9671	0.013213	0.0065984	0.14477	0.0072744	1.83E-06	0.009412	2.37E-05	0.71995	1.16E-15
4.5882	0.00098295	8.1994	0.00016846	0.032125	0	0	0.45194	4.09E-09	2.18E-68	2.9644e-323	0.1	0	1.17E-10	0.011017	0.00062569	5.50E-20	6.40E-103	3.84E-09	9.60E-05	0	2.73E-56	6.0704	0.013064	0.0067416	0.14654	0.0072745	1.83E-06	0.0096136	2.37E-05	0.7197	1.16E-15
4.7059	0.00094354	7.9414	0.00016954	0.031721	0	0	0.44882	4.08E-09	4.15E-70	2.9644e-323	0.1	0	1.16E-10	0.011024	0.00062396	5.70E-20	6.55E-103	3.92E-09	9.81E-05	0	2.80E-56	6.171	0.012917	0.0068836	0.14826	0.0072745	1.83E-06	0.0098163	2.36E-05	0.71948	1.16E-15
4.8235	0.00090626	7.6836	0.0001706	0.031329	0	0	0.44571	4.08E-09	7.90E-72	2.9644e-323	0.1	0	1.16E-10	0.011036	0.00062231	5.92E-20	6.70E-103	4.01E-09	0.00010024	0	2.86E-56	6.2688	0.012773	0.0070243	0.14994	0.0072745	1.83E-06	0.01002	2.36E-05	0.71928	1.16E-15
4.9412	0.00087082	7.4269	0.00017165	0.030947	0	0	0.44262	4.08E-09	1.50E-73	2.9644e-323	0.1	0	1.16E-10	0.011053	0.00062073	6.15E-20	6.85E-103	4.09E-09	0.00010235	0	2.92E-56	6.3637	0.012631	0.0071637	0.15159	0.0072745	1.83E-06	0.010225	2.36E-05	0.71912	1.16E-15
5.0588	0.00083696	7.1722	0.00017269	0.030576	0	0	0.43954	4.08E-09	2.86E-75	2.9644e-323	0.1	0	1.16E-10	0.011075	0.00061923	6.39E-20	7.00E-103	4.18E-09	0.00010444	0	2.99E-56	6.456	0.012491	0.0073019	0.1532	0.0072745	1.83E-06	0.010431	2.36E-05	0.71897	1.16E-15
5.1765	0.00080448	6.9201	0.00017371	0.030215	0	0	0.43647	4.08E-09	5.44E-77	2.9644e-323	0.1	0	1.16E-10	0.0111	0.00061779	6.64E-20	7.15E-103	4.26E-09	0.00010652	0	3.05E-56	6.5454	0.012353	0.0074387	0.15479	0.0072745	1.83E-06	0.010638	2.36E-05	0.71885	1.16E-15
5.2941	0.00077324	6.6715	0.00017472	0.029864	0	0	0.43342	4.08E-09	1.03E-78	2.9644e-323	0.1	0	1.16E-10	0.01113	0.00061641	6.90E-20	7.30E-103	4.34E-09	0.00010858	0	3.11E-56	6.6322	0.012218	0.0075743	0.15635	0.0072745	1.83E-06	0.010845	2.36E-05	0.71875	1.16E-15
5.4118	0.00074311	6.4269	0.00017571	0.029523	0	0	0.43037	4.07E-09	1.97E-80	2.9644e-323	0.1	0	1.16E-10	0.011164	0.00061508	7.17E-20	7.45E-103	4.42E-09	0.00011063	0	3.18E-56	6.7163	0.012084	0.0077086	0.15789	0.0072745	1.83E-06	0.011054	2.35E-05	0.71867	1.16E-15
5.5294	0.00071399	6.187	0.00017669	0.029192	0	0	0.42733	4.07E-09	3.74E-82	2.9644e-323	0.1	0	1.16E-10	0.011202	0.0006138	7.45E-20	7.60E-103	4.50E-09	0.00011267	0	3.24E-56	6.7977	0.011954	0.0078416	0.15942	0.0072745	1.83E-06	0.011264	2.35E-05	0.7186	1.16E-15
