-999	"MyLake model input data time series for Lake 227, accessed from https://github.com/biogeochemistry/ELA_MyLake_model"																															
Year	Month	Day	Global_rad (MJ/m2)	Cloud_cov (-)	Air_temp (deg C)	Relat_hum (%)	Air_press (hPa)	Wind_speed_L227_10m (m/s)	Precipitation (mm/day)	Inflow (m3/day)	Inflow_T (deg C)	Inflow_C	Inflow_S (kg/m3)	Inflow_TP (mg/m3)	Inflow_DOP (mg/m3)	Inflow_Chla (mg/m3)	Inflow_DOC (mg/m3)	Inflow_DIC	Inflow_O	Inflow_NO3 (mg/m3)	Inflow_NH4 (mg/m3)	Inflow_SO4 (mg/m3)	Inflow_Fe2 (mg/m3)	Inflow_Ca2 (mg/m3)	Inflow_pH	Inflow_CH4	Inflow_Fe3	Inflow_Al3	Inflow_SiO4	Inflow_SiO2	Inflow_diatom	Inflow_POC (kg/m3)
1969	8	29	NaN	1	23.3	92	970	2.109371745	39.1	19159	23.29	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	30	NaN	1	16.35	97	970	1.732400471	0	0	17.59	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	8	31	NaN	1	15.25	83	971	0.739013631	0	0	16.69	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	1	NaN	0.588	16.7	81	975	0.697910643	0	0	17.87	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	2	NaN	0.212	17.5	81	976	1.11075009	0	0	18.53	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	3	NaN	0	20.85	80	978	1.463098346	0	0	21.28	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	4	NaN	0.038	20	75	975	2.374925484	1	490	20.58	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	5	NaN	0.375	18.9	81	969	1.223007779	13.2	6468	19.68	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	6	NaN	0.625	17.2	79	955	1.294033225	1.3	637	18.28	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	7	NaN	0.375	13.05	79	944	1.463098346	1	490	14.88	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	8	NaN	0.538	10.55	71	939	1.153404134	0	0	12.83	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	9	NaN	1	10	83	934	0.761439318	0	0	12.38	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	10	NaN	1	12.5	96	928	1.225980637	2.8	1372	14.43	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	11	NaN	1	11.1	97	926	1.879750806	0	0	13.28	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	12	NaN	0.662	15	89	939	1.035976257	0	0	16.48	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	13	NaN	1	17.5	94	950	1.382314172	0	0	18.53	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	14	NaN	0.912	19.75	93	953	1.664864901	18.3	8967	20.38	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	15	NaN	0.088	13.65	80	964	0.814562991	5.1	2499	15.37	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	16	NaN	0.212	11.1	75	974	1.295519654	0	0	13.28	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	17	NaN	0.212	7.2	74	973	0.860189893	0	0	10.08	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	18	NaN	0.375	9.7	65	969	1.806140266	0	0	12.13	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	19	NaN	0.338	14.15	67	962	3.331603995	0	0	15.78	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	20	NaN	0.838	16.65	67	958	2.722749827	0	0	17.83	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	21	NaN	0.25	18.6	72	958	2.447437359	8.4	4116	19.43	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	22	NaN	0.25	12.5	70	961	1.739832615	2	980	14.43	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	23	NaN	0.125	3.9	77	966	1.882723664	0	0	7.38	0	0	0.00	0	0	0	8000	10000	0	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	24	NaN	0.5	6.1	76	972	1.543106993	17.8	8722	9.18	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	25	NaN	0.162	NaN	76	967	1.289573939	5.6	2744	NaN	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	26	NaN	0.912	8.35	85	963	0.659004984	3.6	1764	11.03	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	27	NaN	0.625	7.8	75	961	1.11753596	1	490	10.58	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	28	NaN	0.662	6.1	79	963	1.208789764	6.4	3136	9.18	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	29	NaN	0.462	8.65	77	965	2.032335956	1.3	637	11.27	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	9	30	NaN	0.588	4.2	76	968	1.579750695	3.8	1862	7.62	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	1	NaN	0.038	6.35	66	967	1.409263772	2	980	9.39	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	2	NaN	0.125	6.65	67	958	0.641788261	1.3	637	9.63	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	3	NaN	0.375	10.3	64	952	2.580634307	2.3	1127	12.63	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	4	NaN	0.875	12.75	70	938	1.476540833	30.2	14798	14.64	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	5	NaN	0.088	5.85	44	945	0.762990374	3.6	1764	8.98	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	6	NaN	0.038	5.55	40	951	2.157260603	1.5	735	8.73	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	7	NaN	0.338	3.65	61	956	1.938820195	2.5	1225	7.17	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	8	NaN	0.625	3.85	68	948	2.053275214	0.3	147	7.34	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
1969	10	9	NaN	0.088	7.25	60	954	1.826627133	4.8	2352	10.13	0	0	138.26	0	0	0	8000	10000	1663.13353	0	0	0	0	0	0	0	0	0	0	0	0
